action,sample,imgPath,vidPath,dataset,response,one_person,face_visible,gender,age,race
abseiling,1,video\abseiling\abseiling_001.jpg,video\abseiling\abseiling_001.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
abseiling,2,video\abseiling\abseiling_002.jpg,video\abseiling\abseiling_002.jpg,default,1. yes or no. 2. visible or not-visible. 3. male; female; or other. 4. child; teenager; adult; middle-aged; or senior. 5. White; Black; Indian; east-asian; Southeast-asian; middle-eastern; or Latino.,ERROR,ERROR,ERROR,ERROR,ERROR
abseiling,3,video\abseiling\abseiling_003.jpg,video\abseiling\abseiling_003.jpg,default,1. yes 2. not-visible 3. male 4. teenager 5. Southeast-asian,yes,not-visible,male,teenager,southeast-asian
abseiling,4,video\abseiling\abseiling_004.jpg,video\abseiling\abseiling_004.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
abseiling,5,video\abseiling\abseiling_005.jpg,video\abseiling\abseiling_005.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
abseiling,6,video\abseiling\abseiling_006.jpg,video\abseiling\abseiling_006.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
abseiling,7,video\abseiling\abseiling_007.jpg,video\abseiling\abseiling_007.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
abseiling,8,video\abseiling\abseiling_008.jpg,video\abseiling\abseiling_008.jpg,default,1. yes 2. visible 3. male 4. child 5. White,yes,visible,male,child,white
abseiling,9,video\abseiling\abseiling_009.jpg,video\abseiling\abseiling_009.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
abseiling,10,video\abseiling\abseiling_010.jpg,video\abseiling\abseiling_010.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
abseiling,11,video\abseiling\abseiling_011.jpg,video\abseiling\abseiling_011.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. White,yes,not-visible,male,adult,white
abseiling,12,video\abseiling\abseiling_012.jpg,video\abseiling\abseiling_012.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. Southeast-asian,yes,not-visible,male,adult,southeast-asian
abseiling,13,video\abseiling\abseiling_013.jpg,video\abseiling\abseiling_013.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
abseiling,14,video\abseiling\abseiling_014.jpg,video\abseiling\abseiling_014.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
abseiling,15,video\abseiling\abseiling_015.jpg,video\abseiling\abseiling_015.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
abseiling,16,video\abseiling\abseiling_016.jpg,video\abseiling\abseiling_016.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
abseiling,17,video\abseiling\abseiling_017.jpg,video\abseiling\abseiling_017.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. Southeast-asian,yes,not-visible,male,adult,southeast-asian
abseiling,18,video\abseiling\abseiling_018.jpg,video\abseiling\abseiling_018.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. Southeast-asian,yes,not-visible,male,adult,southeast-asian
abseiling,19,video\abseiling\abseiling_019.jpg,video\abseiling\abseiling_019.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,0,video\add_new_car_tire\add_new_car_tire_000.jpg,video\add_new_car_tire\add_new_car_tire_000.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,1,video\add_new_car_tire\add_new_car_tire_001.jpg,video\add_new_car_tire\add_new_car_tire_001.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,2,video\add_new_car_tire\add_new_car_tire_002.jpg,video\add_new_car_tire\add_new_car_tire_002.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,3,video\add_new_car_tire\add_new_car_tire_003.jpg,video\add_new_car_tire\add_new_car_tire_003.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Indian,yes,visible,male,teenager,indian
add_new_car_tire,4,video\add_new_car_tire\add_new_car_tire_004.jpg,video\add_new_car_tire\add_new_car_tire_004.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,5,video\add_new_car_tire\add_new_car_tire_005.jpg,video\add_new_car_tire\add_new_car_tire_005.jpg,default,1. yes 2. visible 3. male 4. adult 5. Latino,yes,visible,male,adult,latino
add_new_car_tire,6,video\add_new_car_tire\add_new_car_tire_006.jpg,video\add_new_car_tire\add_new_car_tire_006.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. White,yes,visible,male,middle-aged,white
add_new_car_tire,7,video\add_new_car_tire\add_new_car_tire_007.jpg,video\add_new_car_tire\add_new_car_tire_007.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. middle-eastern,yes,not-visible,male,adult,middle-eastern
add_new_car_tire,8,video\add_new_car_tire\add_new_car_tire_008.jpg,video\add_new_car_tire\add_new_car_tire_008.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
add_new_car_tire,9,video\add_new_car_tire\add_new_car_tire_009.jpg,video\add_new_car_tire\add_new_car_tire_009.jpg,default,1. yes 2. not-visible 3. male 4. middle-aged 5. Southeast-asian,yes,not-visible,male,middle-aged,southeast-asian
add_new_car_tire,10,video\add_new_car_tire\add_new_car_tire_010.jpg,video\add_new_car_tire\add_new_car_tire_010.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. White,yes,not-visible,male,adult,white
add_new_car_tire,11,video\add_new_car_tire\add_new_car_tire_011.jpg,video\add_new_car_tire\add_new_car_tire_011.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
add_new_car_tire,12,video\add_new_car_tire\add_new_car_tire_012.jpg,video\add_new_car_tire\add_new_car_tire_012.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. Black,yes,not-visible,male,adult,black
add_new_car_tire,13,video\add_new_car_tire\add_new_car_tire_013.jpg,video\add_new_car_tire\add_new_car_tire_013.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
add_new_car_tire,14,video\add_new_car_tire\add_new_car_tire_014.jpg,video\add_new_car_tire\add_new_car_tire_014.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
add_new_car_tire,15,video\add_new_car_tire\add_new_car_tire_015.jpg,video\add_new_car_tire\add_new_car_tire_015.jpg,default,1. yes 2. visible 3. male 4. adult 5. Black,yes,visible,male,adult,black
add_new_car_tire,16,video\add_new_car_tire\add_new_car_tire_016.jpg,video\add_new_car_tire\add_new_car_tire_016.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
add_new_car_tire,17,video\add_new_car_tire\add_new_car_tire_017.jpg,video\add_new_car_tire\add_new_car_tire_017.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,18,video\add_new_car_tire\add_new_car_tire_018.jpg,video\add_new_car_tire\add_new_car_tire_018.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
add_new_car_tire,19,video\add_new_car_tire\add_new_car_tire_019.jpg,video\add_new_car_tire\add_new_car_tire_019.jpg,default,1. yes 2. not-visible 3. male 4. adult 5. White,yes,not-visible,male,adult,white
adjusting_glasses,0,video\adjusting_glasses\adjusting_glasses_000.jpg,video\adjusting_glasses\adjusting_glasses_000.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
adjusting_glasses,1,video\adjusting_glasses\adjusting_glasses_001.jpg,video\adjusting_glasses\adjusting_glasses_001.jpg,default,1. yes 2. visible 3. female 4. teenager 5. east-asian,yes,visible,female,teenager,east-asian
adjusting_glasses,2,video\adjusting_glasses\adjusting_glasses_002.jpg,video\adjusting_glasses\adjusting_glasses_002.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. White,yes,visible,male,middle-aged,white
adjusting_glasses,3,video\adjusting_glasses\adjusting_glasses_003.jpg,video\adjusting_glasses\adjusting_glasses_003.jpg,default,1. yes 2. visible 3. female 4. middle-aged 5. Southeast-asian,yes,visible,female,middle-aged,southeast-asian
adjusting_glasses,4,video\adjusting_glasses\adjusting_glasses_004.jpg,video\adjusting_glasses\adjusting_glasses_004.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
adjusting_glasses,5,video\adjusting_glasses\adjusting_glasses_005.jpg,video\adjusting_glasses\adjusting_glasses_005.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
adjusting_glasses,6,video\adjusting_glasses\adjusting_glasses_006.jpg,video\adjusting_glasses\adjusting_glasses_006.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
adjusting_glasses,7,video\adjusting_glasses\adjusting_glasses_007.jpg,video\adjusting_glasses\adjusting_glasses_007.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
adjusting_glasses,8,video\adjusting_glasses\adjusting_glasses_008.jpg,video\adjusting_glasses\adjusting_glasses_008.jpg,default,1. yes 2. visible 3. female 4. middle-aged 5. White,yes,visible,female,middle-aged,white
adjusting_glasses,9,video\adjusting_glasses\adjusting_glasses_009.jpg,video\adjusting_glasses\adjusting_glasses_009.jpg,default,1. yes 2. visible 3. female 4. middle-aged 5. Southeast-asian,yes,visible,female,middle-aged,southeast-asian
adjusting_glasses,10,video\adjusting_glasses\adjusting_glasses_010.jpg,video\adjusting_glasses\adjusting_glasses_010.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
adjusting_glasses,11,video\adjusting_glasses\adjusting_glasses_011.jpg,video\adjusting_glasses\adjusting_glasses_011.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
adjusting_glasses,12,video\adjusting_glasses\adjusting_glasses_012.jpg,video\adjusting_glasses\adjusting_glasses_012.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
adjusting_glasses,13,video\adjusting_glasses\adjusting_glasses_013.jpg,video\adjusting_glasses\adjusting_glasses_013.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
adjusting_glasses,14,video\adjusting_glasses\adjusting_glasses_014.jpg,video\adjusting_glasses\adjusting_glasses_014.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
adjusting_glasses,15,video\adjusting_glasses\adjusting_glasses_015.jpg,video\adjusting_glasses\adjusting_glasses_015.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
adjusting_glasses,16,video\adjusting_glasses\adjusting_glasses_016.jpg,video\adjusting_glasses\adjusting_glasses_016.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
adjusting_glasses,17,video\adjusting_glasses\adjusting_glasses_017.jpg,video\adjusting_glasses\adjusting_glasses_017.jpg,default,1. yes 2. visible 3. male 4. adult 5. east-asian,yes,visible,male,adult,east-asian
adjusting_glasses,18,video\adjusting_glasses\adjusting_glasses_018.jpg,video\adjusting_glasses\adjusting_glasses_018.jpg,default,1. yes 2. visible 3. female 4. middle-aged 5. White,yes,visible,female,middle-aged,white
adjusting_glasses,19,video\adjusting_glasses\adjusting_glasses_019.jpg,video\adjusting_glasses\adjusting_glasses_019.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
air_drumming,0,video\air_drumming\air_drumming_000.jpg,video\air_drumming\air_drumming_000.jpg,default,1. yes 2. visible 3. male 4. teenager 5. east-asian,yes,visible,male,teenager,east-asian
air_drumming,1,video\air_drumming\air_drumming_001.jpg,video\air_drumming\air_drumming_001.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
air_drumming,2,video\air_drumming\air_drumming_002.jpg,video\air_drumming\air_drumming_002.jpg,default,1. yes 2. visible 3. male 4. child 5. White,yes,visible,male,child,white
air_drumming,3,video\air_drumming\air_drumming_003.jpg,video\air_drumming\air_drumming_003.jpg,default,1. yes 2. visible 3. male 4. child 5. White,yes,visible,male,child,white
air_drumming,4,video\air_drumming\air_drumming_004.jpg,video\air_drumming\air_drumming_004.jpg,default,1. yes 2. visible 3. male 4. child 5. White,yes,visible,male,child,white
air_drumming,5,video\air_drumming\air_drumming_005.jpg,video\air_drumming\air_drumming_005.jpg,default,1. yes 2. visible 3. female 4. teenager 5. White,yes,visible,female,teenager,white
air_drumming,6,video\air_drumming\air_drumming_006.jpg,video\air_drumming\air_drumming_006.jpg,default,1. yes 2. visible 3. male 4. teenager 5. White,yes,visible,male,teenager,white
air_drumming,7,video\air_drumming\air_drumming_007.jpg,video\air_drumming\air_drumming_007.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
air_drumming,8,video\air_drumming\air_drumming_008.jpg,video\air_drumming\air_drumming_008.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
air_drumming,9,video\air_drumming\air_drumming_009.jpg,video\air_drumming\air_drumming_009.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
air_drumming,10,video\air_drumming\air_drumming_010.jpg,video\air_drumming\air_drumming_010.jpg,default,1. yes 2. visible 3. female 4. teenager 5. Southeast-asian,yes,visible,female,teenager,southeast-asian
air_drumming,11,video\air_drumming\air_drumming_011.jpg,video\air_drumming\air_drumming_011.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
air_drumming,12,video\air_drumming\air_drumming_012.jpg,video\air_drumming\air_drumming_012.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
air_drumming,13,video\air_drumming\air_drumming_013.jpg,video\air_drumming\air_drumming_013.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
air_drumming,14,video\air_drumming\air_drumming_014.jpg,video\air_drumming\air_drumming_014.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
air_drumming,15,video\air_drumming\air_drumming_015.jpg,video\air_drumming\air_drumming_015.jpg,default,1. yes 2. visible 3. male 4. teenager 5. White,yes,visible,male,teenager,white
air_drumming,16,video\air_drumming\air_drumming_016.jpg,video\air_drumming\air_drumming_016.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
air_drumming,17,video\air_drumming\air_drumming_017.jpg,video\air_drumming\air_drumming_017.jpg,default,1. yes 2. visible 3. male 4. child 5. Southeast-asian,yes,visible,male,child,southeast-asian
air_drumming,18,video\air_drumming\air_drumming_018.jpg,video\air_drumming\air_drumming_018.jpg,default,1. yes 2. visible 3. male 4. child 5. Latino,yes,visible,male,child,latino
air_drumming,19,video\air_drumming\air_drumming_019.jpg,video\air_drumming\air_drumming_019.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. Southeast-asian,yes,visible,male,middle-aged,southeast-asian
air_guitar,0,video\air_guitar\air_guitar_000.jpg,video\air_guitar\air_guitar_000.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
air_guitar,1,video\air_guitar\air_guitar_001.jpg,video\air_guitar\air_guitar_001.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
air_guitar,2,video\air_guitar\air_guitar_002.jpg,video\air_guitar\air_guitar_002.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
air_guitar,3,video\air_guitar\air_guitar_003.jpg,video\air_guitar\air_guitar_003.jpg,default,1. yes 2. visible 3. female 4. adult 5. Southeast-asian,yes,visible,female,adult,southeast-asian
air_guitar,4,video\air_guitar\air_guitar_004.jpg,video\air_guitar\air_guitar_004.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
air_guitar,5,video\air_guitar\air_guitar_005.jpg,video\air_guitar\air_guitar_005.jpg,default,1. yes 2. visible 3. male 4. middle-aged 5. White,yes,visible,male,middle-aged,white
air_guitar,6,video\air_guitar\air_guitar_006.jpg,video\air_guitar\air_guitar_006.jpg,default,1. yes 2. visible 3. male 4. teenager 5. Southeast-asian,yes,visible,male,teenager,southeast-asian
air_guitar,7,video\air_guitar\air_guitar_007.jpg,video\air_guitar\air_guitar_007.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
air_guitar,8,video\air_guitar\air_guitar_008.jpg,video\air_guitar\air_guitar_008.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
air_guitar,9,video\air_guitar\air_guitar_009.jpg,video\air_guitar\air_guitar_009.jpg,default,1. yes 2. visible 3. male 4. adult 5. east-asian,yes,visible,male,adult,east-asian
air_guitar,10,video\air_guitar\air_guitar_010.jpg,video\air_guitar\air_guitar_010.jpg,default,1. yes 2. visible 3. male 4. adult 5. White,yes,visible,male,adult,white
air_guitar,11,video\air_guitar\air_guitar_011.jpg,video\air_guitar\air_guitar_011.jpg,default,1. yes 2. visible 3. male 4. adult 5. east-asian,yes,visible,male,adult,east-asian
air_guitar,12,video\air_guitar\air_guitar_012.jpg,video\air_guitar\air_guitar_012.jpg,default,1. yes 2. visible 3. male 4. adult 5. Southeast-asian,yes,visible,male,adult,southeast-asian
air_guitar,13,video\air_guitar\air_guitar_013.jpg,video\air_guitar\air_guitar_013.jpg,default,1. yes 2. visible 3. female 4. adult 5. White,yes,visible,female,adult,white
